Hour,x_E,x_H,n_H
1,0.2248754337,32.30329261,0.0
2,0.2672795329,10.1367553,0.0
3,0.8253362103,1690.1737945040004,1663.1670968940005
4,0.5007729742,0.0,1623.3242557840003
5,0.2759563726,0.0,1619.6800007110003
6,0.3711640831,0.0,1604.5849429510004
7,0.2896017818,0.0,1561.6173691510003
8,0.3905470174,0.0,1526.3683981110003
9,0.0,0.0,1487.8132882110003
10,0.0,0.0,1444.9045684310004
11,0.0,0.0,1439.5378270670003
12,0.0,0.0,1392.3956078670003
13,0.0,0.0,1388.3690715130003
14,0.0,0.0,1346.3315981730004
15,0.0,0.0,1329.9937215930004
16,0.0,0.0,1315.8011708330005
17,0.0,0.0,1294.5970369830004
18,0.0,0.0,1283.9430066930004
19,0.6996282414,0.0,1251.0217962830004
20,0.6386982934,0.0,1218.4330297830004
21,0.9674386161,0.0,1207.5023546730004
22,0.8021656578,0.0,1206.3775554380004
23,0.5705690284,0.0,1188.8174070980003
24,0.4436933638,0.0,1174.9236872680003
25,0.5132155918,0.0,1137.6250304980003
26,0.8406939256,0.0,1115.6806888480003
27,0.1174517514,0.0,1112.8730079230002
28,0.06297984072,0.0,1100.8697853630001
29,0.3038745851,0.0,1088.386055613
30,0.2383313131,0.0,1085.196501619
31,0.626891047,0.0,1049.119871419
32,0.12960997150000003,0.0,1032.180250499
33,0.0,0.0,1016.158108159
34,0.0,0.0,1010.877875752
35,0.0,0.0,974.936256642
36,0.0,0.0,940.973211652
37,0.0,0.0,905.322790862
38,0.0,0.0,864.2068558020001
39,0.0,0.0,817.9699049120001
40,0.0,0.0,779.172171422
41,0.23677330559999998,0.0,774.329065859
42,0.0,0.0,725.824357459
43,0.1573917345,0.0,707.830926869
44,0.7152632212,0.0,684.183103219
45,0.3819447913,0.0,639.918695109
46,0.4349672427,0.0,596.7112147790001
47,0.9615970648,0.0,564.5927131190001
48,0.1844616858,0.0,540.4762848590001
49,0.5015535672,0.0,529.984030939
50,0.09706679572,0.0,527.091423276
51,0.658175223,0.0,479.44356288600005
52,0.1034987737,0.0,435.29976394600004
53,0.3211922378,0.0,419.72151012600006
54,0.6890846289,0.0,390.89322207600003
55,0.015100179120000001,0.0,369.510146436
56,0.0,0.0,344.865362296
57,0.0,0.0,339.590647871
58,0.0,0.0,334.354431538
59,0.0,0.0,289.575871738
60,0.0,0.0,257.923063868
61,0.0,0.0,235.833191028
62,0.0,0.0,209.945078438
63,0.0,0.0,176.892526608
64,0.0,0.0,155.425546618
65,0.0,0.0,123.700390408
66,0.0,0.0,89.952975188
67,0.8007829169,0.0,60.282357948
68,0.5914053733,0.0,36.731404978
69,0.5306586696,0.0,28.828128071
70,0.2557500357,0.0,6.586484521
71,0.1096716427,0.0,0.0
72,0.1617748104,16.74657289,0.0
