Hour,Energy Needed,Solar Energy Generated,Energy Purchased,Energy Cost at Hour,Hydrogen Needed,Hydrogen Stored,Hydrogen Purchased,Hydrogen Cost at Hour,Total Cost at Hour,Total Cost
1,0.224875434,0,0.224875434,22.87,32.30329261,1700.31055,1732.613842,10,17331.28133,17331.28133
2,0.267279533,0,0.267279533,7.09,10.1367553,1690.173795,0,10,1.895011888,17333.17634
3,0.82533621,0,0.82533621,7.09,27.00669761,1663.167097,0,10,5.851633731,17339.02797
4,0.500772974,0,0.500772974,7.09,39.84284111,1623.324256,0,10,3.550480387,17342.57845
5,0.275956373,0,0.275956373,0,3.644255073,1619.680001,0,10,0,17342.57845
6,0.371164083,0,0.371164083,24.63,15.09505776,1604.584943,0,10,9.141771367,17351.72022
7,0.295601782,0.006,0.289601782,24.54,42.9675738,1561.617369,0,10,7.106827725,17358.82705
8,0.640547017,0.25,0.390547017,22.67,35.24897104,1526.368398,0,10,8.853700884,17367.68075
9,0.610908909,0.648,0,6.96,38.5551099,1487.813288,0,10,0,17367.68075
10,0.057359635,0.998,0,6.96,42.90871978,1444.904568,0,10,0,17367.68075
11,0.651478504,1.256,0,0,5.366741364,1439.537827,0,10,0,17367.68075
12,0.397187263,1.382,0,0,47.1422192,1392.395608,0,10,0,17367.68075
13,0.001022668,1.416,0,0,4.026536354,1388.369072,0,10,0,17367.68075
14,0.212932548,1.352,0,22.2,42.03747334,1346.331598,0,10,0,17367.68075
15,0.152595411,1.192,0,7.05,16.33787658,1329.993722,0,10,0,17367.68075
16,0.561530926,0.956,0,23.11,14.19255076,1315.801171,0,10,0,17367.68075
17,0.101880775,0.672,0,22.19,21.20413385,1294.597037,0,10,0,17367.68075
18,0.247741288,0.358,0,24.88,10.65403029,1283.943007,0,10,0,17367.68075
19,0.789628241,0.09,0.699628241,22.76,32.92121041,1251.021796,0,10,15.92353877,17383.60429
20,0.638698293,0,0.638698293,23.55,32.5887665,1218.43303,0,10,15.04134481,17398.64563
21,0.967438616,0,0.967438616,23.2,10.93067511,1207.502355,0,10,22.44457589,17421.09021
22,0.802165658,0,0.802165658,24.05,1.124799235,1206.377555,0,10,19.29208407,17440.38229
23,0.570569028,0,0.570569028,23.77,17.56014834,1188.817407,0,10,13.56242581,17453.94472
24,0.443693364,0,0.443693364,24.02,13.89371983,1174.923687,0,10,10.6575146,17464.60224
25,0.513215592,0,0.513215592,44.07,37.29865677,1137.62503,0,10,22.61741113,17487.21965
26,0.840693926,0,0.840693926,45.39,21.94434165,1115.680689,0,10,38.15909728,17525.37874
27,0.117451751,0,0.117451751,0,2.807680925,1112.873008,0,10,0,17525.37874
28,0.062979841,0,0.062979841,0,12.00322256,1100.869785,0,10,0,17525.37874
29,0.303874585,0,0.303874585,0,12.48372975,1088.386056,0,10,0,17525.37874
30,0.238331313,0,0.238331313,46.55,3.189553994,1085.196502,0,10,11.09432262,17536.47307
31,0.632891047,0.006,0.626891047,46.09,36.0766302,1049.119871,0,10,28.89340836,17565.36647
32,0.367609972,0.238,0.129609972,46.05,16.93962092,1032.18025,0,10,5.968539188,17571.33501
33,0.228939913,0.626,0,46.23,16.02214234,1016.158108,0,10,0,17571.33501
34,0.256833558,0.976,0,61.53,5.280232407,1010.877876,0,10,0,17571.33501
35,0.249892164,1.232,0,0,35.94161911,974.9362566,0,10,0,17571.33501
36,0.944147492,1.39,0,0,33.96304499,940.9732117,0,10,0,17571.33501
37,0.600132092,1.452,0,0,35.65042079,905.3227909,0,10,0,17571.33501
38,0.629057591,1.422,0,0,41.11593506,864.2068558,0,10,0,17571.33501
39,0.01374185,1.222,0,7.04,46.23695089,817.9699049,0,10,0,17571.33501
40,0.521540439,0.99,0,36.99,38.79773349,779.1721714,0,10,0,17571.33501
41,0.954773306,0.718,0.236773306,35.23,4.843105563,774.3290659,0,10,8.341523556,17579.67654
42,0.322260489,0.416,0,42.35,48.5047084,725.8243575,0,10,0,17579.67654
43,0.261391735,0.104,0.157391735,42.14,17.99343059,707.8309269,0,10,6.632487692,17586.30903
44,0.715263221,0,0.715263221,43.35,23.64782365,684.1831032,0,10,31.00666064,17617.31569
45,0.381944791,0,0.381944791,46.62,44.26440811,639.9186951,0,10,17.80626617,17635.12195
46,0.434967243,0,0.434967243,46.81,43.20748033,596.7112148,0,10,20.36081663,17655.48277
47,0.961597065,0,0.961597065,47.28,32.11850166,564.5927131,0,10,45.46430922,17700.94708
48,0.184461686,0,0.184461686,10.41,24.11642826,540.4762849,0,10,1.920246149,17702.86732
49,0.501553567,0,0.501553567,41.57,10.49225392,529.9840309,0,10,20.84958179,17723.71691
50,0.097066796,0,0.097066796,7.12,2.892607663,527.0914233,0,10,0.691115586,17724.40802
51,0.658175223,0,0.658175223,11.18,47.64786039,479.4435629,0,10,7.358398993,17731.76642
52,0.103498774,0,0.103498774,0,44.14379894,435.2997639,0,10,0,17731.76642
53,0.321192238,0,0.321192238,0,15.57825382,419.7215101,0,10,0,17731.76642
54,0.689084629,0,0.689084629,0,28.82828805,390.8932221,0,10,0,17731.76642
55,0.019100179,0.004,0.015100179,11.09,21.38307564,369.5101464,0,10,0.167460986,17731.93388
56,0.186212801,0.234,0,10.76,24.64478414,344.8653623,0,10,0,17731.93388
57,0.071652943,0.61,0,10.57,5.274714425,339.5906479,0,10,0,17731.93388
58,0.17411961,0.96,0,7.89,5.236216333,334.3544315,0,10,0,17731.93388
59,0.635750545,1.226,0,7.07,44.7785598,289.5758717,0,10,0,17731.93388
60,0.369363786,1.392,0,0,31.65280787,257.9230639,0,10,0,17731.93388
61,0.779182257,1.464,0,0,22.08987284,235.833191,0,10,0,17731.93388
62,0.844721818,1.448,0,0,25.88811259,209.9450784,0,10,0,17731.93388
63,0.639480269,1.338,0,0,33.05255183,176.8925266,0,10,0,17731.93388
64,0.661158162,1.132,0,7.05,21.46697999,155.4255466,0,10,0,17731.93388
65,0.771040942,0.836,0,0,31.72515621,123.7003904,0,10,0,17731.93388
66,0.327026586,0.466,0,10.88,33.74741522,89.95297519,0,10,0,17731.93388
67,0.906782917,0.106,0.800782917,0,29.67061724,60.28235795,0,10,0,17731.93388
68,0.591405373,0,0.591405373,11.58,23.55095297,36.73140498,0,10,6.848474223,17738.78236
69,0.53065867,0,0.53065867,11.19,7.903276907,28.82812807,0,10,5.938070513,17744.72043
70,0.255750036,0,0.255750036,7.32,22.24164355,6.586484521,0,10,1.872090261,17746.59252
71,0.109671643,0,0.109671643,7.38,6.586484521,0,0,10,0.809376723,17747.40189
72,0.16177481,0,0.16177481,7.08,16.74657289,0,16.74657289,10,168.6110946,17916.01299
